Date,Open,High,Low,Close,Adj Close,Volume,Doji,Engulfing,Hammer,Morning Star,Evening Star,SMA_10,SMA_50,EMA_10,EMA_50,RSI_14,MACD,MACD_Signal,MACD_Hist
2015-02-17,31.872499465942383,32.220001220703125,31.729999542236328,31.957500457763672,28.547975540161133,252609600,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2015-02-18,31.907499313354492,32.19499969482422,31.862499237060547,32.18000030517578,28.746736526489254,179566800,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2015-02-19,32.119998931884766,32.25749969482422,32.08250045776367,32.11249923706055,28.68644142150879,149449600,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2015-02-20,32.154998779296875,32.375,32.01250076293945,32.375,28.92093086242676,195793600,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2015-02-23,32.505001068115234,33.25,32.415000915527344,33.25,29.702573776245117,283896400,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2015-02-24,33.23500061035156,33.400001525878906,32.79249954223633,33.04249954223633,29.5172176361084,276912400,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2015-02-25,32.88999938964844,32.900001525878906,32.037498474121094,32.1974983215332,28.76237678527832,298846800,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2015-02-26,32.1974983215332,32.717498779296875,31.65250015258789,32.60499954223633,29.126399993896484,365150000,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2015-02-27,32.5,32.64250183105469,32.060001373291016,32.1150016784668,28.688674926757812,248059200,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2015-03-02,32.3125,32.56999969482422,32.07500076293945,32.272499084472656,28.829368591308594,192386800,0.0,0.0,0.0,0.0,0.0,32.41074981689453,,32.41074981689453,,,,,
2015-03-03,32.2400016784668,32.380001068115234,32.022499084472656,32.34000015258789,28.889673233032227,151265200,0.0,1.0,0.0,0.0,0.0,32.44899978637695,,32.39788624156605,,,,,
2015-03-04,32.275001525878906,32.38999938964844,32.08000183105469,32.1349983215332,28.706539154052734,126665200,0.0,0.0,0.0,0.0,0.0,32.4444995880127,,32.350088437923716,,,,,
2015-03-05,32.14500045776367,32.1875,31.440000534057617,31.602500915527344,28.23085594177246,226068400,0.0,0.0,0.0,0.0,0.0,32.393499755859374,,32.214163433851645,,,,,
2015-03-06,32.099998474121094,32.342498779296875,31.565000534057617,31.649999618530273,28.273283004760746,291368400,0.0,0.0,0.0,0.0,0.0,32.320999717712404,,32.11158819470231,,,,,
